text,label
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Pumas empató en el último minuto. Esto generó diversas reacciones.,deportes (fútbol)
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Belinda lanza su nuevo sencillo. Esto generó diversas reacciones.,espectáculos
El presidente anunció una nueva reforma. Esto generó diversas reacciones.,política mexicana
Incrementan operativos en la frontera norte. Esto generó diversas reacciones.,seguridad y justicia
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Protestan por desapariciones en Guerrero. Esto generó diversas reacciones.,seguridad y justicia
Danna Paola causa revuelo en redes. La noticia fue tendencia en redes.,espectáculos
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
El presidente anunció una nueva reforma. La noticia fue tendencia en redes.,política mexicana
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
Protestan por desapariciones en Guerrero. Esto generó diversas reacciones.,seguridad y justicia
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
Descubren nuevas propiedades en el nopal. Esto generó diversas reacciones.,ciencia y salud
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
El Cruz Azul fichó a un delantero argentino. Esto generó diversas reacciones.,deportes (fútbol)
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
Aumentan los casos de dengue en Yucatán. El hecho provocó debate en la opinión pública.,ciencia y salud
La UNAM desarrolló una vacuna nasal. La noticia fue tendencia en redes.,ciencia y salud
La UNAM desarrolló una vacuna nasal. El hecho provocó debate en la opinión pública.,ciencia y salud
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
El INE organizó el simulacro nacional. El hecho provocó debate en la opinión pública.,política mexicana
Pumas empató en el último minuto. El hecho provocó debate en la opinión pública.,deportes (fútbol)
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Incrementan operativos en la frontera norte. La noticia fue tendencia en redes.,seguridad y justicia
Pumas empató en el último minuto. La noticia fue tendencia en redes.,deportes (fútbol)
Danna Paola causa revuelo en redes. La noticia fue tendencia en redes.,espectáculos
El Cruz Azul fichó a un delantero argentino. Esto generó diversas reacciones.,deportes (fútbol)
Pumas empató en el último minuto. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
Pumas empató en el último minuto. La noticia fue tendencia en redes.,deportes (fútbol)
El presidente anunció una nueva reforma. Esto generó diversas reacciones.,política mexicana
Pumas empató en el último minuto. Esto generó diversas reacciones.,deportes (fútbol)
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
Danna Paola causa revuelo en redes. La noticia fue tendencia en redes.,espectáculos
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
El INE organizó el simulacro nacional. El hecho provocó debate en la opinión pública.,política mexicana
Descubren nuevas propiedades en el nopal. La noticia fue tendencia en redes.,ciencia y salud
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
El Cruz Azul fichó a un delantero argentino. Esto generó diversas reacciones.,deportes (fútbol)
Descubren nuevas propiedades en el nopal. Esto generó diversas reacciones.,ciencia y salud
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
Capturan a presunto líder de cártel en Sinaloa. Esto generó diversas reacciones.,seguridad y justicia
La UNAM desarrolló una vacuna nasal. El hecho provocó debate en la opinión pública.,ciencia y salud
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Aumentan los casos de dengue en Yucatán. Esto generó diversas reacciones.,ciencia y salud
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
América ganó el clásico contra Chivas. Esto generó diversas reacciones.,deportes (fútbol)
Capturan a presunto líder de cártel en Sinaloa. Esto generó diversas reacciones.,seguridad y justicia
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
América ganó el clásico contra Chivas. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
Pumas empató en el último minuto. La noticia fue tendencia en redes.,deportes (fútbol)
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
Aumentan los casos de dengue en Yucatán. El hecho provocó debate en la opinión pública.,ciencia y salud
Belinda lanza su nuevo sencillo. Esto generó diversas reacciones.,espectáculos
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
El INE organizó el simulacro nacional. El hecho provocó debate en la opinión pública.,política mexicana
Pumas empató en el último minuto. Esto generó diversas reacciones.,deportes (fútbol)
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
El presidente anunció una nueva reforma. Esto generó diversas reacciones.,política mexicana
Se discutió la ley electoral en el Senado. Esto generó diversas reacciones.,política mexicana
Capturan a presunto líder de cártel en Sinaloa. La noticia fue tendencia en redes.,seguridad y justicia
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
Pumas empató en el último minuto. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Protestan por desapariciones en Guerrero. Esto generó diversas reacciones.,seguridad y justicia
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
El INE organizó el simulacro nacional. El hecho provocó debate en la opinión pública.,política mexicana
El presidente anunció una nueva reforma. La noticia fue tendencia en redes.,política mexicana
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
América ganó el clásico contra Chivas. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Belinda lanza su nuevo sencillo. La noticia fue tendencia en redes.,espectáculos
El Cruz Azul fichó a un delantero argentino. La noticia fue tendencia en redes.,deportes (fútbol)
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
Capturan a presunto líder de cártel en Sinaloa. Esto generó diversas reacciones.,seguridad y justicia
Capturan a presunto líder de cártel en Sinaloa. Esto generó diversas reacciones.,seguridad y justicia
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
Belinda lanza su nuevo sencillo. Esto generó diversas reacciones.,espectáculos
Belinda lanza su nuevo sencillo. La noticia fue tendencia en redes.,espectáculos
Aumentan los casos de dengue en Yucatán. La noticia fue tendencia en redes.,ciencia y salud
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
Incrementan operativos en la frontera norte. El hecho provocó debate en la opinión pública.,seguridad y justicia
Belinda lanza su nuevo sencillo. Esto generó diversas reacciones.,espectáculos
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Incrementan operativos en la frontera norte. El hecho provocó debate en la opinión pública.,seguridad y justicia
El INE organizó el simulacro nacional. La noticia fue tendencia en redes.,política mexicana
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
América ganó el clásico contra Chivas. El hecho provocó debate en la opinión pública.,deportes (fútbol)
El presidente anunció una nueva reforma. Esto generó diversas reacciones.,política mexicana
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
El Cruz Azul fichó a un delantero argentino. Esto generó diversas reacciones.,deportes (fútbol)
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Se discutió la ley electoral en el Senado. El hecho provocó debate en la opinión pública.,política mexicana
Incrementan operativos en la frontera norte. El hecho provocó debate en la opinión pública.,seguridad y justicia
Aumentan los casos de dengue en Yucatán. Esto generó diversas reacciones.,ciencia y salud
La UNAM desarrolló una vacuna nasal. La noticia fue tendencia en redes.,ciencia y salud
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
Aumentan los casos de dengue en Yucatán. La noticia fue tendencia en redes.,ciencia y salud
El presidente anunció una nueva reforma. La noticia fue tendencia en redes.,política mexicana
Incrementan operativos en la frontera norte. Esto generó diversas reacciones.,seguridad y justicia
El INE organizó el simulacro nacional. Esto generó diversas reacciones.,política mexicana
Protestan por desapariciones en Guerrero. Esto generó diversas reacciones.,seguridad y justicia
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Aumentan los casos de dengue en Yucatán. Esto generó diversas reacciones.,ciencia y salud
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
El presidente anunció una nueva reforma. La noticia fue tendencia en redes.,política mexicana
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
Capturan a presunto líder de cártel en Sinaloa. La noticia fue tendencia en redes.,seguridad y justicia
Descubren nuevas propiedades en el nopal. Esto generó diversas reacciones.,ciencia y salud
La UNAM desarrolló una vacuna nasal. El hecho provocó debate en la opinión pública.,ciencia y salud
Descubren nuevas propiedades en el nopal. La noticia fue tendencia en redes.,ciencia y salud
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
Se discutió la ley electoral en el Senado. Esto generó diversas reacciones.,política mexicana
La UNAM desarrolló una vacuna nasal. El hecho provocó debate en la opinión pública.,ciencia y salud
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
Pumas empató en el último minuto. Esto generó diversas reacciones.,deportes (fútbol)
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
El Cruz Azul fichó a un delantero argentino. Esto generó diversas reacciones.,deportes (fútbol)
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
Se discutió la ley electoral en el Senado. Esto generó diversas reacciones.,política mexicana
Pumas empató en el último minuto. Esto generó diversas reacciones.,deportes (fútbol)
Descubren nuevas propiedades en el nopal. La noticia fue tendencia en redes.,ciencia y salud
Incrementan operativos en la frontera norte. Esto generó diversas reacciones.,seguridad y justicia
América ganó el clásico contra Chivas. Esto generó diversas reacciones.,deportes (fútbol)
Belinda lanza su nuevo sencillo. Esto generó diversas reacciones.,espectáculos
Aumentan los casos de dengue en Yucatán. El hecho provocó debate en la opinión pública.,ciencia y salud
El Cruz Azul fichó a un delantero argentino. Esto generó diversas reacciones.,deportes (fútbol)
Se discutió la ley electoral en el Senado. Esto generó diversas reacciones.,política mexicana
Belinda lanza su nuevo sencillo. Esto generó diversas reacciones.,espectáculos
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
América ganó el clásico contra Chivas. Esto generó diversas reacciones.,deportes (fútbol)
El Cruz Azul fichó a un delantero argentino. La noticia fue tendencia en redes.,deportes (fútbol)
La UNAM desarrolló una vacuna nasal. La noticia fue tendencia en redes.,ciencia y salud
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
La UNAM desarrolló una vacuna nasal. El hecho provocó debate en la opinión pública.,ciencia y salud
La UNAM desarrolló una vacuna nasal. Esto generó diversas reacciones.,ciencia y salud
Protestan por desapariciones en Guerrero. La noticia fue tendencia en redes.,seguridad y justicia
Aumentan los casos de dengue en Yucatán. El hecho provocó debate en la opinión pública.,ciencia y salud
Capturan a presunto líder de cártel en Sinaloa. La noticia fue tendencia en redes.,seguridad y justicia
Capturan a presunto líder de cártel en Sinaloa. La noticia fue tendencia en redes.,seguridad y justicia
El INE organizó el simulacro nacional. La noticia fue tendencia en redes.,política mexicana
El INE organizó el simulacro nacional. El hecho provocó debate en la opinión pública.,política mexicana
El Cruz Azul fichó a un delantero argentino. La noticia fue tendencia en redes.,deportes (fútbol)
El INE organizó el simulacro nacional. La noticia fue tendencia en redes.,política mexicana
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
El INE organizó el simulacro nacional. La noticia fue tendencia en redes.,política mexicana
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
Descubren nuevas propiedades en el nopal. Esto generó diversas reacciones.,ciencia y salud
El Cruz Azul fichó a un delantero argentino. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Danna Paola causa revuelo en redes. El hecho provocó debate en la opinión pública.,espectáculos
Pumas empató en el último minuto. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Aumentan los casos de dengue en Yucatán. El hecho provocó debate en la opinión pública.,ciencia y salud
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
El Cruz Azul fichó a un delantero argentino. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Incrementan operativos en la frontera norte. La noticia fue tendencia en redes.,seguridad y justicia
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
Pumas empató en el último minuto. La noticia fue tendencia en redes.,deportes (fútbol)
Pumas empató en el último minuto. Esto generó diversas reacciones.,deportes (fútbol)
Descubren nuevas propiedades en el nopal. El hecho provocó debate en la opinión pública.,ciencia y salud
Protestan por desapariciones en Guerrero. Esto generó diversas reacciones.,seguridad y justicia
Pumas empató en el último minuto. La noticia fue tendencia en redes.,deportes (fútbol)
América ganó el clásico contra Chivas. Esto generó diversas reacciones.,deportes (fútbol)
El presidente anunció una nueva reforma. Esto generó diversas reacciones.,política mexicana
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
Capturan a presunto líder de cártel en Sinaloa. El hecho provocó debate en la opinión pública.,seguridad y justicia
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
América ganó el clásico contra Chivas. El hecho provocó debate en la opinión pública.,deportes (fútbol)
El presidente anunció una nueva reforma. La noticia fue tendencia en redes.,política mexicana
América ganó el clásico contra Chivas. El hecho provocó debate en la opinión pública.,deportes (fútbol)
Protestan por desapariciones en Guerrero. Esto generó diversas reacciones.,seguridad y justicia
Capturan a presunto líder de cártel en Sinaloa. Esto generó diversas reacciones.,seguridad y justicia
Belinda lanza su nuevo sencillo. La noticia fue tendencia en redes.,espectáculos
Incrementan operativos en la frontera norte. El hecho provocó debate en la opinión pública.,seguridad y justicia
Aumentan los casos de dengue en Yucatán. El hecho provocó debate en la opinión pública.,ciencia y salud
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
Pumas empató en el último minuto. La noticia fue tendencia en redes.,deportes (fútbol)
Protestan por desapariciones en Guerrero. El hecho provocó debate en la opinión pública.,seguridad y justicia
El Cruz Azul fichó a un delantero argentino. La noticia fue tendencia en redes.,deportes (fútbol)
El INE organizó el simulacro nacional. La noticia fue tendencia en redes.,política mexicana
El Cruz Azul fichó a un delantero argentino. La noticia fue tendencia en redes.,deportes (fútbol)
Descubren nuevas propiedades en el nopal. Esto generó diversas reacciones.,ciencia y salud
América ganó el clásico contra Chivas. Esto generó diversas reacciones.,deportes (fútbol)
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
El Cruz Azul fichó a un delantero argentino. La noticia fue tendencia en redes.,deportes (fútbol)
Incrementan operativos en la frontera norte. Esto generó diversas reacciones.,seguridad y justicia
Protestan por desapariciones en Guerrero. La noticia fue tendencia en redes.,seguridad y justicia
Se discutió la ley electoral en el Senado. La noticia fue tendencia en redes.,política mexicana
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
Incrementan operativos en la frontera norte. Esto generó diversas reacciones.,seguridad y justicia
Belinda lanza su nuevo sencillo. La noticia fue tendencia en redes.,espectáculos
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
Se estrena película mexicana en Cannes. El hecho provocó debate en la opinión pública.,espectáculos
Danna Paola causa revuelo en redes. Esto generó diversas reacciones.,espectáculos
Belinda lanza su nuevo sencillo. El hecho provocó debate en la opinión pública.,espectáculos
Capturan a presunto líder de cártel en Sinaloa. La noticia fue tendencia en redes.,seguridad y justicia
Incrementan operativos en la frontera norte. El hecho provocó debate en la opinión pública.,seguridad y justicia
El presidente anunció una nueva reforma. El hecho provocó debate en la opinión pública.,política mexicana
Belinda lanza su nuevo sencillo. La noticia fue tendencia en redes.,espectáculos
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
Se estrena película mexicana en Cannes. Esto generó diversas reacciones.,espectáculos
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
Se estrena película mexicana en Cannes. La noticia fue tendencia en redes.,espectáculos
La UNAM desarrolló una vacuna nasal. La noticia fue tendencia en redes.,ciencia y salud
El INE organizó el simulacro nacional. El hecho provocó debate en la opinión pública.,política mexicana
Se discutió la ley electoral en el Senado. Esto generó diversas reacciones.,política mexicana
El INE organizó el simulacro nacional. Esto generó diversas reacciones.,política mexicana
El presidente anunció una nueva reforma. Esto generó diversas reacciones.,política mexicana
El INE organizó el simulacro nacional. Esto generó diversas reacciones.,política mexicana
América ganó el clásico contra Chivas. La noticia fue tendencia en redes.,deportes (fútbol)
El INE organizó el simulacro nacional. Esto generó diversas reacciones.,política mexicana
Danna Paola causa revuelo en redes. La noticia fue tendencia en redes.,espectáculos
La UNAM desarrolló una vacuna nasal. El hecho provocó debate en la opinión pública.,ciencia y salud
